Woi,CAPEX,id,Crusher1,microwave_choice,ore_sorter_choice,screen1_choice,part2_choice,Jb1,Screen2,crusher2_choice,Crusher2,part3_choice,primary_bm_BallMill,primary_bm_CS_sim,Screen1,HPGR,hpgr_fsp,hpgr_U
15.23535088,131.816818,79,10,with,without,with,SAG,10.17227375,1,without,,Mono_Roll,37,0.739347563,8,,,
6.618760676,123.2505265,687,10,with,without,without,CAHM,10.79909115,2,,,HPGR_Fines,27,0.68666213,,,,
6.645857963,123.2486012,815,10,with,without,without,CAHM,11.1216273,2,,,HPGR_Fines,27,0.694643113,,,,
7.050477838,98.92823025,740,10,without,without,without,CAHM,11.2088748,2,,,HPGR_Fines,27,0.69092156,,,,
7.081514022,100.9089773,663,9,without,without,without,CAHM,11.2088748,2,,,HPGR_Fines,27,0.7,,,,
7.223342127,101.0321962,614,9,without,without,without,CAHM,11.87892734,2,,,HPGR_Fines,27,0.694643113,,,,
8.037860381,105.6686887,322,9,without,with,without,CAHM,15.08760684,2,,,HPGR_Fines,27,0.7,,,,
8.508994205,96.34598103,551,10,with,without,without,CAHM,10.79909115,2,,,Mono_Roll,27,0.694643113,,,,
8.508994205,96.34598103,620,10,with,without,without,CAHM,10.79909115,2,,,Mono_Roll,27,0.694643113,,,,
8.508994205,96.34598103,642,10,with,without,without,CAHM,10.79909115,2,,,Mono_Roll,27,0.694643113,,,,
8.508994205,96.34598103,759,10,with,without,without,CAHM,10.79909115,2,,,Mono_Roll,27,0.694643113,,,,
8.508994205,96.34598103,760,10,with,without,without,CAHM,10.79909115,2,,,Mono_Roll,27,0.694643113,,,,
8.508994205,96.34598103,768,10,with,without,without,CAHM,10.79909115,2,,,Mono_Roll,27,0.694643113,,,,
8.508994205,96.34598103,796,10,with,without,without,CAHM,10.79909115,2,,,Mono_Roll,27,0.694643113,,,,
8.508994205,96.34598103,842,10,with,without,without,CAHM,10.79909115,2,,,Mono_Roll,27,0.694643113,,,,
8.521914449,96.34790632,728,10,with,without,without,CAHM,11.1216273,2,,,Mono_Roll,27,0.694643113,,,,
8.532143239,96.34405573,837,10,with,without,without,CAHM,10.79909115,2,,,Mono_Roll,27,0.7,,,,
8.532339518,98.34598103,699,9,with,without,without,CAHM,11.1216273,2,,,Mono_Roll,27,0.697064243,,,,
8.716461026,96.36715927,677,10,with,without,without,CAHM,12.69187967,2,,,Mono_Roll,27,0.694643113,,,,
9.419193947,74.02561003,567,9,without,without,without,CAHM,11.2088748,2,,,Mono_Roll,27,0.68666213,,,,
9.447424991,78.63129789,763,9,without,with,without,CAHM,11.2088748,2,,,Mono_Roll,27,0.68666213,,,,
9.467273266,74.01020767,717,9,without,without,without,CAHM,11.2088748,2,,,Mono_Roll,27,0.694643113,,,,
9.476234365,74.01405826,349,9,without,without,without,CAHM,11.53809621,2,,,Mono_Roll,27,0.694643113,,,,
9.476234365,74.01405826,558,9,without,without,without,CAHM,11.53809621,2,,,Mono_Roll,27,0.694643113,,,,
9.497409078,73.9986559,671,9,without,without,without,CAHM,11.1216273,2,,,Mono_Roll,27,0.7,,,,
9.655852941,72.02175944,703,10,without,without,without,CAHM,10.79909115,2,,,Mono_Roll,27,0.694643113,,,,
9.655852941,72.02175944,715,10,without,without,without,CAHM,10.79909115,2,,,Mono_Roll,27,0.694643113,,,,
9.655852941,72.02175944,895,10,without,without,without,CAHM,10.79909115,2,,,Mono_Roll,27,0.694643113,,,,
9.688582259,72.01020767,658,10,without,without,without,CAHM,10.79909115,2,,,Mono_Roll,27,0.7,,,,
9.688582259,72.01020767,826,10,without,without,without,CAHM,10.79909115,2,,,Mono_Roll,27,0.7,,,,
10.09366827,84.51342803,730,10,with,without,without,SAG,10.79909115,2,without,,Mono_Roll,27,0.694643113,,,,
11.02600367,65.29658571,761,10,without,without,without,CAHM,11.2088748,2,,,BallMill,27,0.688982099,,,,
11.04110481,65.29273512,782,10,without,without,without,CAHM,11.2088748,2,,,BallMill,27,0.69092156,,,,
12.61916477,79.84023725,399,9,with,without,without,SAG,14,2,without,,BallMill,27,0.7,,,,
14.10980329,58.08850459,566,9,without,without,without,SAG,11.53809621,2,with,1,BallMill,27,0.7,,,,
14.55845776,112.4546649,769,10,without,without,without,CAHM,11.1216273,2,,,Mono_Roll,37,0.7,,,,
15.08370117,87.64947599,893,9,without,without,without,CAHM,11.1216273,2,,,BallMill,34,0.7,,,,
15.83365957,57.248918,316,9,without,without,without,SAG,14,2,with,0,BallMill,27,0.7,,,,
15.83365957,57.248918,375,9,without,without,without,SAG,14,2,with,0,BallMill,27,0.7,,,,
6.670696943,124.3430772,597,9,with,without,without,CAHM,11.53809621,3,,,HPGR_Fines,27,0.7,,,,
9.579933611,71.0719536,818,10,without,without,without,CAHM,11.1216273,3,,,Mono_Roll,27,0.712925796,,,,
9.743150915,97.53287111,418,9,with,without,without,CAHM,15.36510088,3,,,Mono_Roll,27,0.720901192,,,,
9.772601853,88.71913383,828,10,with,without,without,CAHM,11.1216273,3,,,BallMill,27,0.694643113,,,,
9.998608447,90.72298442,457,9,with,without,without,CAHM,12.33223549,3,,,BallMill,27,0.7,,,,
10.33486336,83.65026045,612,10,with,without,without,SAG,11.87892734,3,without,,Mono_Roll,27,0.693239154,,,,
14.02422291,82.55781923,255,9,without,with,without,CAHM,12.27641874,3,,,BallMill,31,0.69092156,,,,
